Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8135971,2018-10-30 16:47:22,2018-10-30 16:32:11,106588,53294000,106588,500,34,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135971/SRR8135971.sralite.1,SRX4956957,D20131023,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996779,SAMN05204156,simple,1592332,sludge metagenome,D20131023,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,372DE41C8D11E12E3FDAF41ADC8257FC,882EDF25F0C69383E7D89BC9404B126C
SRR8135972,2018-10-30 16:49:17,2018-10-30 16:34:23,102696,51348000,102696,500,33,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135972/SRR8135972.sralite.1,SRX4956958,D20131024,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996780,SAMN05204157,simple,1592332,sludge metagenome,D20131024,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,5AA7D5F71D853AA68FFB335D7E8F244E,CA3BD133AC5D60BF8B5993F6FB1DC72A
SRR8135973,2018-10-30 16:45:10,2018-10-30 16:32:09,109958,54979000,109958,500,35,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135973/SRR8135973.sralite.1,SRX4956959,D20131025,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996781,SAMN05204158,simple,1592332,sludge metagenome,D20131025,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,A0EE52850F0F57773836C9308578A08B,02F5E26185EDCC8F252DA4B7D72C967B
SRR8135974,2018-10-30 16:49:17,2018-10-30 16:34:39,103440,51720000,103440,500,33,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135974/SRR8135974.sralite.1,SRX4956960,D20131028,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996782,SAMN05204159,simple,1592332,sludge metagenome,D20131028,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,BA06ACC2FA330EC09A683E67012632B3,EA15C00CD278A190AB7777A862433607
SRR8135975,2018-10-30 16:49:17,2018-10-30 16:36:11,53516,26758000,53516,500,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135975/SRR8135975.sralite.1,SRX4956961,D20131029,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996783,SAMN05204160,simple,1592332,sludge metagenome,D20131029,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,D25F086D38D0E7CD5849AF9574472BF3,11D925C47D641AB475CFADCA2B166E86
SRR8135976,2018-10-30 16:50:11,2018-10-30 16:38:37,91711,45855500,91711,500,29,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135976/SRR8135976.sralite.1,SRX4956962,D20131030,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996784,SAMN05204161,simple,1592332,sludge metagenome,D20131030,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,5FCAA960128F82339A1E62EAB0C34C1C,6DBAEF4FEDBCCB39660C6EFFBD621444
SRR8135977,2018-10-30 16:54:11,2018-10-30 16:47:23,90134,45067000,90134,500,29,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135977/SRR8135977.sralite.1,SRX4956963,D20131031,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996785,SAMN05204162,simple,1592332,sludge metagenome,D20131031,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,52372D76E4D014706543DF0E5648CB1A,2AB2D370584407761998B8C83E3243BF
SRR8135978,2018-10-30 16:58:11,2018-10-30 16:47:45,88009,44004500,88009,500,28,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135978/SRR8135978.sralite.1,SRX4956964,D20131101,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996786,SAMN05204163,simple,1592332,sludge metagenome,D20131101,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,47625D3FAD019727CE87D8B7502B03D0,1775A633B2064A9C0962418F4E99C14B
SRR8135979,2018-10-30 16:58:12,2018-10-30 16:47:12,84423,42211500,84423,500,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135979/SRR8135979.sralite.1,SRX4956965,D20131104,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996787,SAMN05204164,simple,1592332,sludge metagenome,D20131104,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,4A8E9D8F48509856222F399B3312B5D7,6C9D170DABE2D0DCC07EFEB1C95D401E
SRR8135980,2018-10-30 16:54:11,2018-10-30 16:46:49,76471,38235500,76471,500,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135980/SRR8135980.sralite.1,SRX4956966,D20131105,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996788,SAMN05204165,simple,1592332,sludge metagenome,D20131105,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,B4EB646F9EB9E08B35EFD009C539930D,9E7CB498A785AC44EC219ED4AD2E0FB7
SRR8135981,2018-10-30 16:59:11,2018-10-30 16:53:20,81581,40790500,81581,500,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135981/SRR8135981.sralite.1,SRX4956967,D20131106,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996789,SAMN05204166,simple,1592332,sludge metagenome,D20131106,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,3CC07F64804654BDA38395E06A54997F,FAA23212500012B9DD83F6E593DBD7F7
SRR8135982,2018-10-30 16:58:12,2018-10-30 16:51:24,89391,44695500,89391,500,29,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135982/SRR8135982.sralite.1,SRX4956968,D20131107,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996790,SAMN05204167,simple,1592332,sludge metagenome,D20131107,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,911F9D02B9760265394C65540A813197,A1AE0844EB011BAAC16902EBDD469DBF
SRR8135983,2018-10-30 16:58:12,2018-10-30 16:52:47,90667,45333500,90667,500,29,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135983/SRR8135983.sralite.1,SRX4956969,D20131108,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996791,SAMN05204168,simple,1592332,sludge metagenome,D20131108,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,71D13B7533E42D6766251E33A7E5BE77,928A299C4C8A5F0F452C259FD213B1FF
SRR8135984,2018-10-30 16:58:12,2018-10-30 16:50:57,88477,44238500,88477,500,28,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135984/SRR8135984.sralite.1,SRX4956970,D20131111,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996792,SAMN05204169,simple,1592332,sludge metagenome,D20131111,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,DB4EAC683B0FC5373901B6C035ECFFBF,60BDD5253D5A23E2890487C1A7AA41D9
SRR8135985,2018-10-30 16:59:11,2018-10-30 16:53:16,54608,27304000,54608,500,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135985/SRR8135985.sralite.1,SRX4956971,D20131112,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996793,SAMN05204170,simple,1592332,sludge metagenome,D20131112,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,83780F1EFA05CE5938E5F8E0EA09071E,D040B2A35F3F6974DFE71269BA4CF1AA
SRR8135986,2018-10-30 16:59:11,2018-10-30 16:53:27,85654,42827000,85654,500,28,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135986/SRR8135986.sralite.1,SRX4956972,D20131113,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996794,SAMN05204171,simple,1592332,sludge metagenome,D20131113,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,DC70443206D9C42211E114C76AD42AD9,1E759F72D34BD5A9FD128E57AE337341
SRR8135987,2018-10-30 16:59:11,2018-10-30 16:53:43,89884,44942000,89884,500,29,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135987/SRR8135987.sralite.1,SRX4956973,D20131114,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996795,SAMN05204172,simple,1592332,sludge metagenome,D20131114,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,29054CA548C7BCB9794D0FD1924AFB21,1F09D26C5C46348F31FC9F15EE273F6D
SRR8135988,2018-10-30 16:59:11,2018-10-30 16:55:36,74507,37253500,74507,500,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135988/SRR8135988.sralite.1,SRX4956974,D20131115,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996796,SAMN05204173,simple,1592332,sludge metagenome,D20131115,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,A8AE67E33521835F2EA051FCE1AEE1D4,3084E944EA420068EA2B6C17CDF1D35B
SRR8135989,2018-10-30 16:59:12,2018-10-30 16:55:57,71260,35630000,71260,500,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135989/SRR8135989.sralite.1,SRX4956975,D20131118,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996797,SAMN05204174,simple,1592332,sludge metagenome,D20131118,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,8A2912045714DD3191E8BBA9937AE5E7,2FC2151CDB8B3D78324674A70480FC68
SRR8135990,2018-10-30 16:59:12,2018-10-30 16:56:09,59867,29933500,59867,500,19,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135990/SRR8135990.sralite.1,SRX4956976,D20131119,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996798,SAMN05204175,simple,1592332,sludge metagenome,D20131119,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,89C5A04BA8C0815760C6A7534C39A7B5,DFBFD983061A02EE064786245384CC88
SRR8135991,2018-10-30 16:59:12,2018-10-30 16:55:17,74046,37023000,74046,500,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135991/SRR8135991.sralite.1,SRX4956977,D20131120,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996799,SAMN05204176,simple,1592332,sludge metagenome,D20131120,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,DA458F9BBE7A6C4A003054E7569BB9F9,650F293BDD59E395AED5A49ABFBD4746
SRR8135992,2018-10-30 16:58:12,2018-10-30 16:52:41,71830,35915000,71830,500,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135992/SRR8135992.sralite.1,SRX4956978,D20131121,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996800,SAMN05204177,simple,1592332,sludge metagenome,D20131121,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,539183A251DED91308BE5B46ED7E6138,ABCF08BA8069DA136045A5E69E4D5B70
SRR8135993,2018-10-30 16:59:12,2018-10-30 16:56:44,86808,43404000,86808,500,28,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135993/SRR8135993.sralite.1,SRX4956979,D20131122,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996801,SAMN05204178,simple,1592332,sludge metagenome,D20131122,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,88DD652F8079A9C712F0EAB1A939EBEF,A8ECAF8F9C35259F803BDE7B2BFD8801
SRR8135994,2018-10-30 17:09:11,2018-10-30 16:58:51,72559,36279500,72559,500,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135994/SRR8135994.sralite.1,SRX4956980,D20131125,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996802,SAMN05204179,simple,1592332,sludge metagenome,D20131125,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,895DB12AC95D5308349FF32AFB4CB52F,C3F0E5D8BB48573E5B2F95800411E4D8
SRR8135995,2018-10-30 16:59:12,2018-10-30 16:56:40,63522,31761000,63522,500,20,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135995/SRR8135995.sralite.1,SRX4956981,D20131126,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996803,SAMN05204180,simple,1592332,sludge metagenome,D20131126,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,8F4F35C8252782CB3635D7AB4A5EDDCA,31E925F2B65E2F366474147087F892E6
SRR8135996,2018-10-30 16:59:12,2018-10-30 16:57:59,92825,46412500,92825,500,30,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135996/SRR8135996.sralite.1,SRX4956982,D20131127,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996804,SAMN05204181,simple,1592332,sludge metagenome,D20131127,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,9B646DD079E478232B0BF7E0A11101F4,C7BA21B03B4C3B368B6F791681300098
SRR8135997,2018-10-30 17:08:11,2018-10-30 16:58:58,93916,46958000,93916,500,30,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135997/SRR8135997.sralite.1,SRX4956983,D20131128,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996805,SAMN05204182,simple,1592332,sludge metagenome,D20131128,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,453EECF5ED5FA53485F8819FED763A4E,A2D885062160FBA32167A3E6D3B6D813
SRR8135998,2018-10-30 16:59:12,2018-10-30 16:56:05,86856,43428000,86856,500,28,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135998/SRR8135998.sralite.1,SRX4956984,D20131202,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996806,SAMN05204183,simple,1592332,sludge metagenome,D20131202,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,8A4578E29C82EC168EE4D0780306937E,D72A809100A6756B4EB8D5435DD15604
SRR8135999,2018-10-30 17:01:11,2018-10-30 16:58:36,82042,41021000,82042,500,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/135/SRR8135999.sralite.1,SRX4956985,D20131203,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996807,SAMN05204184,simple,1592332,sludge metagenome,D20131203,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,B55DE36A9C3F0421303DC56AAFC9149A,E695C89C02C54D7A8E65A8A9FB168FD3
SRR8136000,2018-10-30 17:01:11,2018-10-30 16:58:56,67261,33630500,67261,500,22,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/136/SRR8136000/SRR8136000.sralite.1,SRX4956986,D20131204,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996808,SAMN05204185,simple,1592332,sludge metagenome,D20131204,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,67151F0C65358BA0EB87C9B1BC1828E8,C5C21A4C0F234249CAC540DF3A2FB843
SRR8136001,2018-10-30 17:09:11,2018-10-30 17:01:49,80847,40423500,80847,500,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/136/SRR8136001/SRR8136001.sralite.1,SRX4956987,D20131205,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996809,SAMN05204186,simple,1592332,sludge metagenome,D20131205,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,B43F84EB344AC9212639AECE688DFD04,0614B477851B62997387A57EA80ABDF3
SRR8136002,2018-10-30 17:09:11,2018-10-30 17:00:16,82533,41266500,82533,500,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/136/SRR8136002/SRR8136002.sralite.1,SRX4956988,D20131206,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996810,SAMN05204187,simple,1592332,sludge metagenome,D20131206,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,BA1FD02C3ACF76101EF32CE8892FA610,5FADE03EAE94DDF9002BBD3387530166
